customer_id,customer_name,signup_date,country,segment,age_group,last_purchase_date,frequency,monetary_sgd,avg_basket_sgd,categories_purchased,recency_days,tenure_days,churned,recency_days_quartile,frequency_quartile,monetary_sgd_quartile
CUST100000,Hui Ling Chua,2025-07-24,Thailand,Budget,25-34,2026-05-14,6,406.36,67.73,4,76,370,0.0,3,3,4
CUST100001,Aina Lee,2025-08-31,Singapore,Budget,35-44,2026-06-21,5,541.61,108.32,3,38,332,0.0,2,3,3
CUST100002,Farhan Osman,2026-06-07,Malaysia,Budget,45-54,2026-04-08,6,2175.02,362.5,4,112,52,1.0,4,3,1
CUST100003,Hui Ling Yusof,2026-05-04,Singapore,Mainstream,45-54,2026-07-15,7,527.23,75.32,4,14,86,0.0,1,2,3
CUST100004,Siti Lim,2025-05-21,Singapore,Mainstream,35-44,2026-06-05,13,1219.82,93.83,7,54,434,0.0,3,1,2
CUST100005,Ahmad Goh,2025-06-09,Indonesia,Budget,25-34,2026-07-28,2,95.49,47.74,1,1,415,0.0,1,4,4
CUST100006,Ravi Chua,2025-06-19,Singapore,Budget,25-34,2026-02-07,2,195.42,97.71,2,172,405,1.0,4,4,4
CUST100007,Ravi Chua,2026-04-06,Malaysia,Premium,55+,2026-07-21,10,999.96,100.0,4,8,114,0.0,1,1,2
CUST100008,Ahmad Lim,2025-07-22,Indonesia,Budget,35-44,2026-06-15,6,675.11,112.52,4,44,372,0.0,3,3,3
CUST100009,Haziq Lee,2026-06-15,Singapore,Budget,45-54,2026-07-29,4,408.52,102.13,3,0,44,0.0,1,4,4
CUST100010,Ahmad Wong,2026-04-15,Malaysia,Budget,35-44,2026-04-28,2,985.67,492.84,2,92,105,1.0,4,4,2
CUST100011,Nur Aisyah Muthu,2025-07-30,Indonesia,Budget,55+,2025-11-03,2,209.94,104.97,2,268,364,1.0,4,4,4
CUST100012,Xin Yi Nair,2025-05-05,Thailand,Mainstream,45-54,2026-06-28,6,716.79,119.46,5,31,450,0.0,2,3,3
CUST100013,Farhan Osman,2025-04-07,Singapore,Mainstream,25-34,2026-06-10,10,1305.99,130.6,6,49,478,0.0,3,1,2
CUST100014,Ahmad Lee,2024-08-12,Thailand,Budget,45-54,2026-06-05,5,432.27,86.45,4,54,716,0.0,3,3,4
CUST100015,Mei Ling Binte Ismail,2024-11-13,Indonesia,Premium,25-34,2026-07-23,14,3122.68,223.05,5,6,623,0.0,1,1,1
CUST100016,Hui Ling Chong,2025-10-25,Indonesia,Budget,25-34,2026-06-24,5,297.21,59.44,4,35,277,0.0,2,3,4
CUST100017,Suresh Tan,2025-01-04,Malaysia,Premium,45-54,2026-06-26,14,2001.59,142.97,5,33,571,0.0,2,1,1
CUST100018,Suresh Osman,2026-05-21,Indonesia,Budget,25-34,2026-07-27,5,1552.3,310.46,3,2,69,0.0,1,3,1
CUST100019,Kumar Nair,2024-11-11,Indonesia,Budget,25-34,2026-04-28,5,446.89,89.38,3,92,625,1.0,4,3,4
CUST100020,Nur Aisyah Chua,2025-10-20,Singapore,Premium,35-44,2026-05-28,11,1978.86,179.9,5,62,282,0.0,3,1,1
CUST100021,Ravi Wong,2025-01-21,Thailand,Premium,55+,2026-07-07,17,2342.11,137.77,7,22,554,0.0,2,1,1
CUST100022,Hui Ling Goh,2024-08-20,Thailand,Mainstream,18-24,2026-06-21,10,1142.34,114.23,5,38,708,0.0,2,1,2
CUST100023,Farhan Muthu,2025-03-03,Malaysia,Mainstream,35-44,2026-06-12,8,685.94,85.74,6,47,513,0.0,3,2,3
CUST100024,Aina Chua,2024-09-26,Indonesia,Mainstream,35-44,2026-06-30,8,765.15,95.64,4,29,671,0.0,2,2,3
CUST100025,Xin Yi Bin Abdullah,2026-07-22,Malaysia,Mainstream,25-34,2026-06-22,15,3259.86,217.32,5,37,7,0.0,2,1,1
CUST100026,Jia Xin Kaur,2026-03-27,Indonesia,Budget,35-44,2026-06-05,8,1159.62,144.95,4,54,124,0.0,3,2,2
CUST100027,Mei Ling Tan,2025-04-28,Indonesia,Mainstream,35-44,2026-07-22,6,389.46,64.91,4,7,457,0.0,1,3,4
CUST100028,Ahmad Bin Abdullah,2025-06-30,Singapore,Mainstream,45-54,2026-07-18,7,656.19,93.74,5,11,394,0.0,1,2,3
CUST100029,Ravi Yusof,2026-05-03,Singapore,Mainstream,35-44,2026-06-27,5,893.17,178.63,3,32,87,0.0,2,3,2
CUST100030,Chen Wei Chua,2025-02-20,Singapore,Premium,55+,2026-05-24,15,1384.55,92.3,7,66,524,0.0,3,1,2
CUST100031,Jia Xin Goh,2026-06-17,Thailand,Mainstream,45-54,2026-06-22,5,972.57,194.51,4,37,42,0.0,2,3,2
CUST100032,Farhan Rahman,2024-08-05,Malaysia,Budget,18-24,2026-03-19,2,232.72,116.36,2,132,723,1.0,4,4,4
CUST100033,Chen Wei Wong,2026-04-06,Thailand,Budget,45-54,2026-05-02,6,691.06,115.18,4,88,114,0.0,4,3,3
CUST100034,Hui Ling Kaur,2025-09-07,Malaysia,Mainstream,35-44,2026-04-25,3,139.75,46.58,2,95,325,1.0,4,4,4
CUST100035,Xin Yi Bin Abdullah,2024-12-05,Singapore,Budget,18-24,2026-03-25,4,138.29,34.57,3,126,601,1.0,4,4,4
CUST100036,Mei Ling Lim,2025-07-19,Thailand,Premium,35-44,2026-07-23,12,2826.72,235.56,6,6,375,0.0,1,1,1
CUST100037,Aina Kaur,2025-02-01,Malaysia,Budget,45-54,2025-08-27,1,723.26,723.26,1,336,543,1.0,4,4,3
CUST100038,Priya Binte Ismail,2025-03-03,Malaysia,Budget,25-34,2026-01-14,3,233.46,77.82,2,196,513,1.0,4,4,4
CUST100039,Divya Yusof,2024-09-05,Singapore,Mainstream,25-34,2026-06-03,5,788.18,157.64,4,56,692,0.0,3,3,3
CUST100040,Chen Wei Lee,2025-08-25,Singapore,Budget,35-44,2026-06-29,7,974.58,139.23,5,30,338,0.0,2,2,2
CUST100041,Nur Aisyah Osman,2024-08-14,Singapore,Mainstream,25-34,2026-07-27,7,2871.93,410.28,4,2,714,0.0,1,2,1
CUST100042,Zhi Hao Yusof,2025-07-17,Malaysia,Budget,45-54,2026-06-05,5,467.76,93.55,5,54,377,0.0,3,3,3
CUST100043,Hui Ling Rahman,2024-10-15,Malaysia,Mainstream,25-34,2026-07-16,8,1402.51,175.31,5,13,652,0.0,1,2,2
CUST100044,Xin Yi Osman,2025-02-10,Singapore,Mainstream,45-54,2026-07-23,13,3948.74,303.75,5,6,534,0.0,1,1,1
CUST100045,Farhan Osman,2026-04-23,Singapore,Premium,45-54,2026-06-27,9,1715.09,190.57,5,32,97,0.0,2,2,1
CUST100046,Haziq Wong,2025-04-16,Singapore,Budget,25-34,2026-04-09,4,671.41,167.85,4,111,469,1.0,4,4,3
CUST100047,Suresh Rahman,2024-10-26,Malaysia,Budget,35-44,2026-04-23,5,806.23,161.25,5,97,641,1.0,4,3,3
CUST100048,Siti Yusof,2026-04-27,Thailand,Mainstream,25-34,2026-05-07,8,893.44,111.68,4,83,93,0.0,4,2,2
CUST100049,Zhi Hao Bin Abdullah,2024-11-24,Malaysia,Premium,25-34,2026-03-31,7,532.72,76.1,5,120,612,1.0,4,2,3
CUST100050,Haziq Bin Abdullah,2026-05-14,Singapore,Mainstream,35-44,2026-06-26,13,1253.27,96.41,7,33,76,0.0,2,1,2
CUST100051,Haziq Tan,2024-11-01,Malaysia,Mainstream,25-34,2026-07-27,8,633.76,79.22,5,2,635,0.0,1,2,3
CUST100052,Xin Yi Chua,2024-12-31,Thailand,Mainstream,45-54,2026-07-13,6,1263.25,210.54,5,16,575,0.0,1,3,2
CUST100053,Xin Yi Nair,2026-04-10,Indonesia,Mainstream,35-44,2026-07-14,9,830.85,92.32,5,15,110,0.0,1,2,3
CUST100054,Mei Ling Yusof,2025-02-14,Indonesia,Premium,18-24,2026-07-01,7,515.91,73.7,4,28,530,0.0,2,2,3
CUST100055,Kumar Chua,2026-05-05,Thailand,Premium,25-34,2026-07-21,10,808.25,80.82,4,8,85,0.0,1,1,3
CUST100056,Divya Lee,2025-06-10,Malaysia,Mainstream,45-54,2026-04-22,9,783.74,87.08,4,98,414,1.0,4,2,3
CUST100057,Ahmad Chong,2024-09-23,Thailand,Mainstream,25-34,2026-06-30,9,1887.41,209.71,6,29,674,0.0,2,2,1
CUST100058,Wei Ming Bin Abdullah,2026-03-01,Singapore,Premium,35-44,2026-06-28,15,2474.82,164.99,6,31,150,0.0,2,1,1
CUST100059,Siti Lim,2026-03-25,Indonesia,Budget,18-24,2026-07-09,8,768.72,96.09,5,20,126,0.0,2,2,3
CUST100060,Farhan Yusof,2025-09-24,Thailand,Budget,55+,2026-05-24,4,138.78,34.69,3,66,308,0.0,3,4,4
CUST100061,Aina Kaur,2025-11-02,Thailand,Premium,25-34,2026-07-20,12,2592.88,216.07,7,9,269,0.0,1,1,1
CUST100062,Suresh Chong,2026-06-24,Malaysia,Mainstream,35-44,2026-07-18,7,1261.19,180.17,6,11,35,0.0,1,2,2
