customer_id,customer_name,signup_date,country,segment,age_group,last_purchase_date,frequency,monetary_sgd,avg_basket_sgd,categories_purchased,recency_days,tenure_days,churned,recency_days_quartile,frequency_quartile,monetary_sgd_quartile,churn_probability,churn_risk_band
CUST100000,Hui Ling Chua,2025-07-24,Thailand,Budget,25-34,2026-05-14,6,406.36,67.73,4,76,370,0.0,3,3,4,0.4266,Medium
CUST100001,Aina Lee,2025-08-31,Singapore,Budget,35-44,2026-06-21,5,541.61,108.32,3,38,332,0.0,2,3,3,0.535,Medium
CUST100002,Farhan Osman,2026-06-07,Malaysia,Budget,45-54,2026-04-08,6,2175.02,362.5,4,112,52,1.0,4,3,1,0.5418,Medium
CUST100003,Hui Ling Yusof,2026-05-04,Singapore,Mainstream,45-54,2026-07-15,7,527.23,75.32,4,14,86,0.0,1,2,3,0.3468,Medium
CUST100004,Siti Lim,2025-05-21,Singapore,Mainstream,35-44,2026-06-05,13,1219.82,93.83,7,54,434,0.0,3,1,2,0.1027,Low
CUST100005,Ahmad Goh,2025-06-09,Indonesia,Budget,25-34,2026-07-28,2,95.49,47.74,1,1,415,0.0,1,4,4,0.8279,High
CUST100006,Ravi Chua,2025-06-19,Singapore,Budget,25-34,2026-02-07,2,195.42,97.71,2,172,405,1.0,4,4,4,0.7925,High
CUST100007,Ravi Chua,2026-04-06,Malaysia,Premium,55+,2026-07-21,10,999.96,100.0,4,8,114,0.0,1,1,2,0.1843,Low
CUST100008,Ahmad Lim,2025-07-22,Indonesia,Budget,35-44,2026-06-15,6,675.11,112.52,4,44,372,0.0,3,3,3,0.3089,Low
CUST100009,Haziq Lee,2026-06-15,Singapore,Budget,45-54,2026-07-29,4,408.52,102.13,3,0,44,0.0,1,4,4,0.5767,Medium
CUST100010,Ahmad Wong,2026-04-15,Malaysia,Budget,35-44,2026-04-28,2,985.67,492.84,2,92,105,1.0,4,4,2,0.7858,High
CUST100011,Nur Aisyah Muthu,2025-07-30,Indonesia,Budget,55+,2025-11-03,2,209.94,104.97,2,268,364,1.0,4,4,4,0.8503,High
CUST100012,Xin Yi Nair,2025-05-05,Thailand,Mainstream,45-54,2026-06-28,6,716.79,119.46,5,31,450,0.0,2,3,3,0.356,Medium
CUST100013,Farhan Osman,2025-04-07,Singapore,Mainstream,25-34,2026-06-10,10,1305.99,130.6,6,49,478,0.0,3,1,2,0.2345,Low
CUST100014,Ahmad Lee,2024-08-12,Thailand,Budget,45-54,2026-06-05,5,432.27,86.45,4,54,716,0.0,3,3,4,0.4187,Medium
CUST100015,Mei Ling Binte Ismail,2024-11-13,Indonesia,Premium,25-34,2026-07-23,14,3122.68,223.05,5,6,623,0.0,1,1,1,0.0895,Low
CUST100016,Hui Ling Chong,2025-10-25,Indonesia,Budget,25-34,2026-06-24,5,297.21,59.44,4,35,277,0.0,2,3,4,0.4228,Medium
CUST100017,Suresh Tan,2025-01-04,Malaysia,Premium,45-54,2026-06-26,14,2001.59,142.97,5,33,571,0.0,2,1,1,0.0491,Low
CUST100018,Suresh Osman,2026-05-21,Indonesia,Budget,25-34,2026-07-27,5,1552.3,310.46,3,2,69,0.0,1,3,1,0.4614,Medium
CUST100019,Kumar Nair,2024-11-11,Indonesia,Budget,25-34,2026-04-28,5,446.89,89.38,3,92,625,1.0,4,3,4,0.5678,Medium
CUST100020,Nur Aisyah Chua,2025-10-20,Singapore,Premium,35-44,2026-05-28,11,1978.86,179.9,5,62,282,0.0,3,1,1,0.1248,Low
CUST100021,Ravi Wong,2025-01-21,Thailand,Premium,55+,2026-07-07,17,2342.11,137.77,7,22,554,0.0,2,1,1,0.0398,Low
CUST100022,Hui Ling Goh,2024-08-20,Thailand,Mainstream,18-24,2026-06-21,10,1142.34,114.23,5,38,708,0.0,2,1,2,0.1217,Low
CUST100023,Farhan Muthu,2025-03-03,Malaysia,Mainstream,35-44,2026-06-12,8,685.94,85.74,6,47,513,0.0,3,2,3,0.2052,Low
CUST100024,Aina Chua,2024-09-26,Indonesia,Mainstream,35-44,2026-06-30,8,765.15,95.64,4,29,671,0.0,2,2,3,0.1583,Low
CUST100025,Xin Yi Bin Abdullah,2026-07-22,Malaysia,Mainstream,25-34,2026-06-22,15,3259.86,217.32,5,37,7,0.0,2,1,1,0.0745,Low
