customer_id,customer_name,signup_date,country,segment,age_group
CUST100000,Hui Ling Chua,2025-07-24,Thailand,Budget,25-34
CUST100001,Aina Lee,2025-08-31,Singapore,Budget,35-44
CUST100002,Farhan Osman,2026-06-07,Malaysia,Budget,45-54
CUST100003,Hui Ling Yusof,2026-05-04,Singapore,Mainstream,45-54
CUST100004,Siti Lim,2025-05-21,Singapore,Mainstream,35-44
CUST100005,Ahmad Goh,2025-06-09,Indonesia,Budget,25-34
CUST100006,Ravi Chua,2025-06-19,Singapore,Budget,25-34
CUST100007,Ravi Chua,2026-04-06,Malaysia,Premium,55+
CUST100008,Ahmad Lim,2025-07-22,Indonesia,Budget,35-44
CUST100009,Haziq Lee,2026-06-15,Singapore,Budget,45-54
CUST100010,Ahmad Wong,2026-04-15,Malaysia,Budget,35-44
CUST100011,Nur Aisyah Muthu,2025-07-30,Indonesia,Budget,55+
CUST100012,Xin Yi Nair,2025-05-05,Thailand,Mainstream,45-54
CUST100013,Farhan Osman,2025-04-07,Singapore,Mainstream,25-34
CUST100014,Ahmad Lee,2024-08-12,Thailand,Budget,45-54
CUST100015,Mei Ling Binte Ismail,2024-11-13,Indonesia,Premium,25-34
CUST100016,Hui Ling Chong,2025-10-25,Indonesia,Budget,25-34
CUST100017,Suresh Tan,2025-01-04,Malaysia,Premium,45-54
CUST100018,Suresh Osman,2026-05-21,Indonesia,Budget,25-34
CUST100019,Kumar Nair,2024-11-11,Indonesia,Budget,25-34
CUST100020,Nur Aisyah Chua,2025-10-20,Singapore,Premium,35-44
CUST100021,Ravi Wong,2025-01-21,Thailand,Premium,55+
CUST100022,Hui Ling Goh,2024-08-20,Thailand,Mainstream,18-24
CUST100023,Farhan Muthu,2025-03-03,Malaysia,Mainstream,35-44
CUST100024,Aina Chua,2024-09-26,Indonesia,Mainstream,35-44
CUST100025,Xin Yi Bin Abdullah,2026-07-22,Malaysia,Mainstream,25-34
CUST100026,Jia Xin Kaur,2026-03-27,Indonesia,Budget,35-44
CUST100027,Mei Ling Tan,2025-04-28,Indonesia,Mainstream,35-44
CUST100028,Ahmad Bin Abdullah,2025-06-30,Singapore,Mainstream,45-54
CUST100029,Ravi Yusof,2026-05-03,Singapore,Mainstream,35-44
CUST100030,Chen Wei Chua,2025-02-20,Singapore,Premium,55+
CUST100031,Jia Xin Goh,2026-06-17,Thailand,Mainstream,45-54
CUST100032,Farhan Rahman,2024-08-05,Malaysia,Budget,18-24
CUST100033,Chen Wei Wong,2026-04-06,Thailand,Budget,45-54
CUST100034,Hui Ling Kaur,2025-09-07,Malaysia,Mainstream,35-44
CUST100035,Xin Yi Bin Abdullah,2024-12-05,Singapore,Budget,18-24
CUST100036,Mei Ling Lim,2025-07-19,Thailand,Premium,35-44
